Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
31-JAN-2024|AMFG|EQUITY|434000000|5825|23500|13696182|0|0|34362800|32000|35076|0|0|48149558|114800|21807700|191300|1090800|47300|1467500|11661459|76900|222183|36679942
31-JAN-2024|AMIN|EQUITY|1080000000|152|0|0|0|0|68935500|0|0|0|0|68935500|0|17438300|0|4279900|247915200|0|192800|0|10438300|280264500
31-JAN-2024|AMMN|EQUITY|72518217656|7525|51565100|65591175156|4231600|0|1155551500|37808994|31914|20000|12000|66840396264|34441654|478447800|201091674|644768920|222062800|775970867|104879936|7788200|3208369541|5677821392
31-JAN-2024|AMMS|EQUITY|1200048831|37|0|28915300|0|0|209519752|0|79|0|0|238435131|0|0|0|100|1126800|0|486800|0|0|1613700
31-JAN-2024|AMOR|EQUITY|2222222400|1000|35600000|351702300|0|0|424578000|0|8784400|0|0|820664700|10730454|149400|0|49438700|1000000|5105700|154300|0|859146|67437700
31-JAN-2024|AMRT|EQUITY|41524501700|2650|527897800|15073528234|57691000|0|2487418739|457412213|1252723|3845200|902100|18609948009|187129352|4331981663|1433812968|1917371765|505700|3928777326|884098851|26953700|2023922366|14734553691
31-JAN-2024|ANDI|EQUITY|9350000000|50|25543605|797718480|1438400|0|1537930657|1499216461|266823708|2702640|567409200|4698783151|0|0|0|5100|1159949|0|21800|0|0|1186849
31-JAN-2024|ANJT|EQUITY|3354175000|715|0|53779129|0|45000|291575234|100|413700|0|47400|345860563|0|481400|545200|391600|766637|1235200|4379700|0|514700|8314437
31-JAN-2024|ANTM|EQUITY|24030764725|1550|939901899|78378174|102006178|3500012|3403054529|482332205|80492802|19238650|1431667|5110336116|85530657|169992279|819057241|263048581|12026649|1005066289|162323733|7704100|736441222|3261190751
31-JAN-2024|APEX|EQUITY|2830004997|171|0|2027796979|0|0|259203101|0|4534|0|0|2287004614|0|307752577|0|156287247|849300|0|397587|0|0|465286711
31-JAN-2024|APIC|EQUITY|11766313488|1235|381010700|9427286512|0|0|274055568|309391475|560450157|37590800|0|10989785212|6068800|26944135|44029300|515008627|1250|98963300|2143400|0|83369464|776528276
31-JAN-2024|APII|EQUITY|1075760000|187|0|1617300|0|0|55869100|0|0|0|0|57486400|0|295400|0|812200|36757300|0|36164700|0|143096000|217125600
31-JAN-2024|APLI|EQUITY|1362671400|560|0|201399300|0|0|560356900|0|165000|0|0|761921200|0|0|0|100|170100|0|479000|0|0|649200
31-JAN-2024|APLN|EQUITY|22699326779|125|5283600|9325458998|3000000|0|3003714516|26959500|115467168|700000|390000|12480973782|0|16503882|51596208|293126420|5646900|15909142|4436761|21185408|116168276|524572997
31-JAN-2024|APOL|EQUITY|16452282461|0|0|649059480|1400000|0|775953251|0|90689820|14086735|575800|1531765086|0|2653784186|0|1180647657|8159700|13668011|1410334020|0|71420000|5338013574
31-JAN-2024|ARCI|EQUITY|24835000000|356|67260500|23635019717|308200|0|761051083|55646900|1752658|0|0|24521039058|0|1579600|0|153479650|8105200|6341310|381342|0|144073840|313960942
31-JAN-2024|ARGO|EQUITY|3174339029|965|45000|661988014|0|0|640550|0|83000|0|0|662756564|0|280|0|5382100|11250|0|1100|0|5720|5400450
31-JAN-2024|ARII|EQUITY|3431000000|200|117981800|1528196500|62900|0|537513600|151725400|0|0|0|2335480200|0|312864100|0|217030500|2105800|0|23500|0|76134900|608158800
31-JAN-2024|ARKA|EQUITY|2000000000|50|0|1093942500|0|0|895472600|0|100|0|0|1989415200|0|250100|0|100|4109800|0|4974800|0|0|9334800
31-JAN-2024|ARKO|EQUITY|2928495000|760|0|2315255193|0|0|315888200|0|0|0|0|2631143393|0|295038107|0|1984600|328900|0|0|0|0|297351607
31-JAN-2024|ARMY|EQUITY|9006250000|50|1054253569|2879287175|8219655|0|1551693957|1958842055|279965587|2541349|526952595|8261755942|0|488927400|0|31551200|1064158|2532000|4800|0|0|524079558
31-JAN-2024|ARNA|EQUITY|7341430976|685|160606597|1199573776|25823500|0|3445763461|60175100|573657|0|0|4892516091|0|302188850|635200|538261228|32362628|1150288576|5362392|42868300|376947711|2448914885
31-JAN-2024|ARTA|EQUITY|446674175|2710|0|42052600|0|0|377760525|0|0|0|0|419813125|0|20000000|0|1750|499500|0|6359800|0|0|26861050
31-JAN-2024|ARTI|EQUITY|7840000000|5|74373974|2650331886|739500000|0|3801280050|505451300|686590|0|23750000|7795373800|0|0|0|100|14241400|0|8340700|0|20669000|43251200
31-JAN-2024|ARTO|EQUITY|13856250000|3210|94686648|7054954792|19881598|0|1184614153|215972135|3663038|1807400|15|8575579779|3199703|1349872696|65952896|2090502809|2318600|58604829|97065603|0|1374590585|5042107721
31-JAN-2024|ASBI|EQUITY|348386472|710|10989992|309537614|22|1106|16509386|0|27360|0|0|337065480|0|0|0|574340|530170|0|1092388|0|0|2196898
31-JAN-2024|ASDM|EQUITY|384000000|466|0|62904200|0|26400|33822520|4000000|0|0|0|100753120|0|0|0|123000|963600|205800|4438000|0|0|5730400
31-JAN-2024|ASGR|EQUITY|1348780500|900|1552500|2226760|108200|178000|232276428|13770900|2259326|500|0|252372614|0|211300|4417600|17887400|591200|6066700|4669485|3453500|7924761|45221946
31-JAN-2024|ASHA|EQUITY|5000000000|50|0|2764842600|0|0|1750517200|6873500|400100100|100|0|4922333500|0|2051000|0|74664400|951100|0|0|0|0|77666500
31-JAN-2024|ASIA|EQUITY|2275009490|0|250000|16422970|0|83334|1025414332|0|6278531|0|22620680|1071069847|0|334|0|1720002|7516173|0|24374843|0|1153364243|1186975595
31-JAN-2024|ASII|EQUITY|40483553140|5125|2380927852|145735040|247801373|4398950|1922279970|818331241|40159990|72567900|24545830|5656748146|209550231|384679255|2130217384|1661517170|9395230|5309856205|620076004|201560500|2071647035|12598499014
31-JAN-2024|ASJT|EQUITY|1400000000|117|30426303|33857833|1083786509|0|171368067|32660956|41258938|0|6323900|1399682506|0|0|0|878|295916|0|20700|0|0|317494
31-JAN-2024|ASLC|EQUITY|12746354780|93|357221100|125246000|33681400|0|1714671522|190138400|494100|100|0|2421452622|0|58718063|0|32859000|2286000|0|12339800|0|327482600|433685463
31-JAN-2024|ASLI|EQUITY|6250000000|50|0|746104800|0|0|5500651300|0|0|0|0|6246756100|0|0|0|235600|3008300|0|0|0|0|3243900
31-JAN-2024|ASMI|EQUITY|8958380460|50|2693479000|2158899900|0|7658500|3686536460|431000|41941400|0|6920800|8595867060|0|0|0|52200|21780800|6893100|3537200|0|24535300|56798600
31-JAN-2024|ASPI|EQUITY|683810725|139|0|349995000|0|0|325349125|0|0|0|0|675344125|0|2207600|0|6244400|9600|0|0|0|0|8461600
31-JAN-2024|ASRI|EQUITY|19649411888|162|19500400|10052535760|16267500|0|3314977042|118624499|1885397316|8083500|250100|15415636117|0|112099942|103855697|283191120|7415200|405058750|241734322|7452500|90518240|1251325771
31-JAN-2024|ASRM|EQUITY|304283840|1510|15213|33362479|0|0|9540844|0|2912|135|4548561|47470144|0|204334|0|30618|11075|0|362954|0|2140310|2749291
31-JAN-2024|ASSA|EQUITY|3691137517|725|49165300|1795399777|24076873|0|1392134950|112736402|1526896|5317400|100|3380357698|0|1701507|0|94295245|3152000|25221275|99570215|0|86839577|310779819
31-JAN-2024|ATAP|EQUITY|1250000000|51|0|59500000|0|0|95552000|0|0|0|0|155052000|0|94708900|0|100|239000|0|0|0|0|94948000
31-JAN-2024|ATIC|EQUITY|2315361355|392|0|797762618|0|0|495491916|0|0|0|0|1293254534|0|863645841|0|177800|806200|0|25000|0|0|864654841
31-JAN-2024|ATPK|EQUITY|5760245414|0|334100|3695100|18900|0|250304994|0|12500|0|7733000|262098594|0|3651000|3400000|366222000|1161500|0|516347807|0|99759129|990541436
