Date,Code,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT
2023-10-31,GRIA,0,0,0,0,4893385974,0,0,0,0,0,0,0,4664200,1470500,0,0,0,0
2023-11-30,GRIA,0,0,0,0,4893724074,0,0,0,0,0,0,0,4362800,1433800,0,0,0,0
2023-12-29,GRIA,0,0,0,0,4894272074,0,0,0,0,0,0,0,3815100,1433500,0,0,0,0
2024-01-31,GRIA,0,0,0,0,4898150674,0,0,0,0,0,0,0,178400,1191600,0,0,0,0
2024-02-29,GRIA,0,0,0,0,4897528274,0,0,0,0,0,0,0,800800,1191600,0,0,0,0
