Date,Code,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT
2024-01-31,BBCA,1744366995,77773860,324981350,2420000,4512119696,1133857946,63011743,55138700,1061900,539486484,1874858501,6214893525,3223880963,326964910,19788046671,1184128643,662266305,10724437928
2024-02-29,BBCA,1636599895,83805190,304759850,10258600,4488808647,1007834042,61524187,57788400,2097600,559571953,1845018973,6154943975,3282928421,318978510,20055656834,1213213404,663369705,10706537934
2024-03-28,BBCA,1680921995,80592690,307900550,1715000,4589853914,926410530,57559014,56998100,2334300,573200352,1822077005,6229112589,3388474952,315113310,19964683130,1145000611,665775205,10645972873
2024-04-30,BBCA,1716414695,85558990,320324650,1715000,4735396004,1003935681,58195120,57585100,1939900,591253685,1798032304,6353259639,3179617718,315271740,19825422748,1108338522,666406505,10635028119
