Date,Code,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT
2023-08-31,MTEL,1037765400,6647847330,310422148,0,1116501100,883450179,8877493,172611600,43310000,65014400,99240747,562820551,2225825721,886300,1613036900,253243722,15639500,8460873209
2023-09-29,MTEL,996060400,6752669030,310306248,0,1112240600,953476235,9537708,165628000,43310000,68422400,111011761,505080051,2259930211,934500,1595927725,253193722,15639500,8363998209
2023-10-31,MTEL,995156300,6755228030,306708248,0,1171792500,956228530,9895013,163709300,43310000,59528500,128092361,450055151,2275245511,913800,1578683725,254913422,16216200,8351689709
2023-11-30,MTEL,1031577900,6772424330,304926848,0,1350995500,1009577961,11600082,164842800,43310000,48683800,146462261,290760051,2226477011,913000,1468394177,255243422,16216200,8375165857
2023-12-29,MTEL,1027771000,6773575630,291931848,0,1443727400,989254862,11210148,156946300,43310000,51579400,151329458,289145951,2241231003,753600,1458222595,257025636,6114100,8337662569
2024-01-31,MTEL,975808600,6844548230,275465948,0,1516791100,945978960,10250731,160529400,43310000,50441700,179922661,289145951,2237828403,806600,1455689536,259111136,6114100,8279048444
2024-02-29,MTEL,931525000,6885673030,240884848,0,1579024200,936004130,11249793,158392800,43310000,50552700,202619261,292421951,2234904903,1182300,1483637147,256159493,7045700,8216204244
2024-03-28,MTEL,813443400,6914660630,207546448,0,1788702700,951237289,13473369,159424700,43310000,51410521,222197261,292985351,2265927703,1367600,1450558357,246827627,7045700,8100672844
