Date,Code,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT
2023-10-31,CBPE,0,92179200,0,0,178326200,0,0,0,0,0,0,0,549800,194800,0,0,0,0
2023-11-30,CBPE,0,93725900,0,0,177141500,0,0,0,0,0,0,0,187800,194800,0,0,0,0
2023-12-29,CBPE,0,95069700,0,0,175863600,0,0,0,0,0,0,0,142000,174700,0,0,0,0
2024-01-31,CBPE,0,96134200,0,0,174852500,0,0,0,0,0,0,0,88600,174700,0,0,0,0
2024-02-29,CBPE,0,97838800,0,0,173141500,0,0,0,0,0,0,0,95000,174700,0,0,0,0
2024-03-28,CBPE,0,97838800,0,0,173143000,0,0,0,0,0,0,0,93500,174700,0,0,0,0
