Date,Code,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT
2023-10-31,BBRI,3341966550,170871252,563316410,819444987,3133771837,2032538567,35970666,267421456,5502130323,1301155854,2537927072,7576972462,5597152408,38679975,21592716717,1449570211,236358207,14730863682
2023-11-30,BBRI,3431218050,150420652,568195747,831094687,2994673574,2081980801,22264902,268068018,5501801223,1292954416,2530543301,7567440833,5635260055,40432847,21474506335,1491699430,237741149,14808745816
2023-12-29,BBRI,3426574950,133425516,551725747,838354851,2798603516,1990315695,13255620,264200118,5503290123,1311953020,2336376503,7500996321,5566923496,40340489,22152612621,1477038964,238110649,14785028837
2024-01-31,BBRI,3313793850,131798816,550468847,836654839,2757110187,1970336541,22674628,257271618,5505877123,1243070840,2238878692,7597502525,5696520962,40520424,22374422192,1397840042,238232249,14757342861
2024-02-29,BBRI,3206297550,139301716,518301778,835604785,2638870039,1696770813,21719130,253718018,5499760823,1280215260,2228934422,7532173568,5680597639,40666324,22740377173,1439360395,240657237,14937213566
